1527554885.000000, 1527554885.000000, 1527554885.000000
32.000000, 32.000000, 32.000000
45,4,42
46,4,41
46,5,41
46,6,41
46,6,42
46,5,42
45,5,43
44,4,43
44,4,43
43,3,44
44,2,44
44,1,43
44,2,43
44,2,43
44,2,42
45,3,42
45,4,43
45,4,43
45,4,43
45,3,43
45,3,43
44,4,43
45,4,43
45,4,43
44,4,43
44,3,43
44,3,43
44,3,43
44,3,43
44,3,43
44,3,43
44,3,43
44,3,43
44,3,43
44,3,44
45,4,44
45,5,44
43,5,44
43,4,44
46,3,44
46,3,45
43,3,47
42,3,47
36,1,50
35,1,51
28,0,54
26,-1,54
22,-1,53
21,-2,55
21,-2,56
25,-1,55
27,0,55
30,1,55
32,2,54
32,2,54
33,2,53
33,2,53
32,2,53
32,2,53
32,2,52
32,2,52
32,2,53
32,2,52
32,2,52
33,3,52
33,4,52
34,4,52
35,5,52
35,5,52
35,4,52
33,3,52
33,3,52
31,2,52
32,2,52
33,2,52
34,3,51
35,3,51
36,3,51
35,2,51
34,2,52
33,2,52
32,4,53
32,4,53
32,4,53
32,4,52
33,4,52
33,3,52
33,2,52
34,2,52
34,2,52
34,2,51
34,2,51
34,2,51
34,3,52
33,3,52
33,4,52
33,4,52
33,4,52
33,4,52
33,4,52
34,4,51
34,4,51
36,4,51
36,4,51
36,4,51
34,2,51
34,2,51
34,2,51
34,2,52
34,3,51
34,3,51
34,3,51
34,3,52
34,3,51
34,3,52
34,4,51
34,4,51
34,4,51
35,4,51
34,4,51
35,4,51
35,4,51
35,3,51
35,3,51
34,3,51
34,3,51
34,3,51
35,4,51
34,4,51
34,3,51
34,3,51
34,3,51
35,3,51
34,3,51
34,4,51
35,4,51
35,4,51
35,4,51
35,3,51
34,3,51
34,4,51
35,3,51
34,3,51
35,3,51
34,3,51
34,3,51
34,3,51
34,3,51
34,3,51
35,3,51
34,4,51
34,4,51
34,4,51
34,3,51
34,3,51
35,3,51
35,3,51
35,3,51
34,3,51
34,3,51
35,3,51
34,3,51
34,4,51
34,4,51
34,4,51
35,4,51
35,4,51
35,3,51
35,3,51
35,3,51
36,3,51
35,3,50
35,3,51
35,3,51
35,4,51
35,4,51
35,4,51
35,4,51
35,4,51
35,4,50
35,3,50
35,3,51
35,3,51
35,3,51
35,4,51
35,4,51
35,4,51
35,4,51
35,4,51
35,4,51
36,4,50
36,4,51
36,4,50
36,4,50
36,4,50
36,4,50
36,4,50
36,4,50
36,4,50
36,4,50
36,3,50
36,4,50
36,4,50
36,4,50
35,4,50
35,4,51
36,4,51
36,4,51
35,4,51
35,4,50
35,4,50
36,4,50
36,4,50
36,3,50
35,3,50
35,3,50
35,3,50
35,3,51
35,3,50
36,3,50
35,3,50
36,4,50
35,4,50
35,3,51
36,4,50
36,4,50
36,3,50
36,4,50
36,3,50
36,3,50
35,3,50
35,3,50
35,3,50
35,3,50
35,4,51
35,4,50
35,4,50
35,4,50
35,3,50
36,4,50
36,4,50
36,3,50
36,3,50
36,3,50
36,3,50
35,3,50
35,3,50
36,3,50
35,3,50
35,3,50
35,3,50
36,4,50
36,3,51
36,3,50
36,3,50
36,4,50
36,4,49
36,4,50
36,4,50
36,3,50
36,3,50
36,3,50
36,4,50
36,4,50
