1529963963.000000, 1529963963.000000, 1529963963.000000
32.000000, 32.000000, 32.000000
36,43,-14
40,44,-16
45,47,-18
45,47,-16
36,49,-17
38,51,-15
32,52,-17
20,56,-18
21,58,-17
15,56,-19
23,56,-16
17,56,-20
18,59,-23
8,56,-18
7,62,-21
8,68,-29
7,69,-24
-5,75,-22
-17,69,-22
-35,64,-18
-29,63,-2
-40,59,0
-12,68,-4
-10,73,16
-27,50,12
-19,46,15
-24,46,16
-28,45,14
-28,43,22
-26,41,22
-8,41,27
-8,44,27
-7,55,27
-5,63,32
-1,75,35
5,74,33
0,68,23
-5,64,22
-6,63,19
-13,60,17
-23,63,25
-10,67,33
-16,59,18
12,56,17
12,61,16
29,70,16
12,77,8
-8,63,4
-8,64,5
4,67,1
2,68,6
3,63,1
1,64,-1
8,63,2
5,66,2
-4,63,-5
5,65,0
3,62,1
-1,63,6
3,63,4
1,64,2
0,65,1
-1,64,1
-1,64,1
-1,65,-2
-1,64,-1
0,62,0
-1,63,3
-2,65,2
-2,63,2
0,63,3
-4,64,4
-1,64,4
-3,63,3
-6,64,3
-7,61,4
-9,62,5
-9,64,3
-12,61,3
-17,65,1
-9,60,7
-16,56,6
-28,54,-2
-20,64,-6
-21,66,-2
-17,61,-2
-22,60,-1
-23,60,-2
-26,61,-3
-24,64,0
-25,62,0
-24,58,-2
-28,60,4
-31,62,7
-24,71,15
-26,72,20
-34,65,14
-40,59,5
-71,50,-7
-80,44,-12
-87,38,1
-86,35,-1
-89,26,-9
-83,24,-7
-65,13,-6
-56,7,-7
-46,-4,-3
-48,-4,1
-28,-9,3
-17,-16,2
-14,-18,3
-29,-7,10
-31,2,11
-42,21,6
-36,32,19
-38,51,22
-42,46,15
-52,66,38
-55,73,37
-78,78,18
-80,76,13
-80,80,7
-73,79,13
-52,74,37
-52,79,68
-78,52,6
-98,54,6
-44,54,41
-50,66,34
-94,61,10
-57,59,31
-31,50,22
-43,32,17
-47,29,19
-28,19,25
-34,14,24
-33,4,10
-30,-1,6
-27,-9,1
-30,-15,-3
-55,-30,-4
-53,-37,3
-53,-41,8
-76,-40,21
-76,-37,25
-80,-24,29
-61,-22,39
-88,-27,22
-72,-22,30
-71,-17,26
-83,-16,22
-80,-9,34
-64,-10,34
-52,-6,30
-59,-6,21
-65,-14,13
-42,-9,43
-34,-6,61
-36,-8,46
-38,-8,31
-34,-12,27
-32,-14,28
-42,-14,46
-49,-14,52
-53,-17,48
-47,-16,50
-48,-7,49
-51,-16,45
-47,-21,40
-47,-20,34
-60,-20,27
-64,-19,27
-58,-17,30
-55,-17,29
-53,-17,34
-52,-19,36
-51,-21,32
-57,-28,29
-48,-27,34
-48,-28,31
-46,-22,44
-38,-15,48
-41,-14,44
-43,-14,37
-44,-15,40
-40,-13,54
-37,-10,59
-38,-8,55
-39,-8,55
-36,-10,52
-36,-13,50
-40,-13,45
-40,-14,43
-41,-14,47
-45,-15,49
-40,-13,53
-35,-10,55
-36,-9,54
-34,-6,50
-40,-9,48
-38,-13,48
-38,-15,45
-32,-9,54
-31,-7,58
-40,0,64
-38,2,67
-40,-1,51
-48,-5,30
-58,-9,-3
-56,-16,-13
-49,-20,-27
-56,-22,-50
-56,-21,-48
-50,-17,-37
-48,-14,-36
-42,-13,-46
-40,-13,-51
-57,-9,-52
-72,-6,-48
-101,-8,-79
-74,-5,-69
-40,-10,-39
-26,-13,-11
-40,-14,25
-59,-21,9
-84,-21,-1
-75,-16,4
-54,-16,27
-58,-28,13
-31,-23,27
-22,-21,55
-39,-25,40
-45,-21,30
-29,-21,34
-27,-17,50
-54,-14,38
-61,-16,38
-47,-18,39
-36,-19,41
-50,-17,34
-60,-17,27
-61,-17,19
-61,-16,0
-55,-21,18
-45,-15,25
-71,-15,14
-63,-14,11
-60,-15,-4
-68,-15,-7
-66,-13,-9
-66,-11,-11
-71,-14,-19
-82,-22,-39
-63,-18,-31
-75,-16,-26
-79,-22,-55
-77,-19,-56
-69,-17,-49
-47,-16,-36
-38,-22,-19
-46,-25,-20
-34,-29,-13
-33,-36,-8
-38,-36,-7
-36,-40,-14
-46,-38,-15
-45,-35,-28
-54,-34,-27
-57,-37,-20
-50,-41,-23
-49,-42,-13
-45,-40,-15
-47,-45,-25
-47,-44,-25
-47,-39,-18
-50,-38,-20
-39,-43,-16
-39,-42,-18
-42,-42,-22
-43,-47,-23
-44,-47,-19
-46,-44,-17
-50,-42,-15
-69,-26,-9
-70,-15,2
-56,-8,10
-47,-13,3
-17,-27,-8
-11,-38,-19
-10,-52,-11
