1528851206.000000, 1528851206.000000, 1528851206.000000
32.000000, 32.000000, 32.000000
-39,16,42
-38,14,44
-38,13,43
-39,13,43
-39,11,45
-40,10,46
-40,9,47
-41,9,47
-40,8,48
-41,7,48
-42,6,47
-42,6,48
-42,6,49
-43,6,50
-45,6,50
-45,6,50
-44,5,51
-42,3,50
-42,3,50
-40,3,50
-40,2,50
-41,2,50
-43,3,50
-42,3,50
-41,3,52
-43,3,51
-43,3,51
-42,3,51
-41,2,51
-42,3,50
-41,3,50
-41,3,50
-41,3,49
-41,4,49
-41,4,49
-42,4,50
-43,5,50
-44,5,50
-44,5,51
-44,5,51
-43,4,51
-43,4,51
-43,5,51
-44,5,51
-43,5,51
-44,5,51
-44,5,49
-44,5,49
-44,5,49
-44,5,48
-45,6,48
-44,5,48
-44,6,48
-46,6,48
-46,6,48
-45,6,49
-46,6,49
-45,6,48
-46,6,48
-45,6,47
-45,6,46
-45,7,45
-44,7,45
-44,8,44
-45,9,43
-44,9,43
-44,10,43
-43,11,42
-43,12,41
-43,13,39
-43,13,39
-40,15,40
-40,18,40
-41,21,41
-45,27,43
-43,29,43
-44,31,44
-47,33,42
-48,34,40
-50,35,37
-45,37,36
-44,38,35
-41,41,35
-39,42,33
-37,43,32
-35,44,31
-34,46,31
-36,49,29
-38,52,27
-38,54,27
-35,55,29
-33,56,29
-32,57,30
-31,56,29
-31,56,28
-30,54,28
-29,52,27
-29,51,26
-30,51,25
-30,52,25
-29,54,25
-28,54,25
-28,54,25
-27,54,24
-27,54,24
-26,53,24
-26,52,24
-25,52,24
-25,52,25
-25,52,25
-25,52,25
-26,53,25
-26,53,26
-26,54,26
-27,54,25
-27,53,26
-27,53,25
-27,53,25
-27,53,25
-28,53,24
-28,54,24
-28,54,24
-28,54,24
-28,54,24
-28,55,24
-27,54,24
-27,54,24
-27,54,24
-26,53,24
-26,54,24
-26,54,25
-26,54,25
-26,54,25
-26,54,25
-25,54,25
-25,53,25
-25,53,25
-26,54,25
-26,55,24
-26,55,24
-26,55,23
-26,55,23
-26,53,22
-25,53,24
-24,52,24
-26,53,24
-27,53,24
-28,54,24
-29,54,24
-29,54,23
-28,53,23
-26,53,25
-26,53,25
-18,54,33
-18,56,38
-14,54,39
-7,54,48
-16,54,46
-33,57,42
-43,56,41
-40,57,42
-57,68,25
-60,58,15
-35,44,13
-33,36,7
-40,34,7
